date,avg
2015-01-01,14.00
2015-01-02,14.00
2015-01-03,12.00
2015-01-04,14.00
2015-01-05,16.00
2015-01-06,14.00
2015-01-07,14.00
2015-01-08,13.00
2015-01-09,14.00
2015-01-11,15.00
2015-01-12,17.00
2015-01-13,17.00
2015-01-14,19.00
2015-01-15,17.00
2015-01-16,17.00
2015-01-17,16.00
2015-01-18,18.00
2015-01-19,14.00
2015-01-20,14.00
2015-01-21,17.00
2015-01-22,14.00
2015-01-23,14.00
2015-01-25,14.00
2015-01-26,12.00
2015-01-27,13.00
2015-01-28,12.00
2015-01-29,12.00
2015-01-31,12.00
2015-02-01,13.00
2015-02-02,12.00
2015-02-03,10.00
2015-02-04,10.00
2015-02-05,12.00
2015-02-06,12.00
2015-02-07,12.00
2015-02-08,12.00
2015-02-09,13.00
2015-02-10,13.00
2015-02-11,13.00
2015-02-12,12.00
2015-02-13,13.00
2015-02-14,12.00
2015-02-15,12.00
2015-02-16,12.00
2015-02-18,13.00
2015-02-19,13.00
2015-02-20,14.00
2015-02-22,13.00
2015-02-23,13.00
2015-02-24,10.00
2015-02-25,12.00
2015-02-26,11.00
2015-02-27,11.00
2015-03-01,13.00
2015-03-02,13.00
2015-03-03,19.00
2015-03-06,19.00
2015-03-09,13.00
2015-03-10,13.00
2015-03-11,13.00
2015-03-12,13.00
2015-03-13,13.00
2015-03-14,12.00
2015-03-15,12.00
2015-03-16,12.00
2015-03-17,14.00
2015-03-18,11.00
2015-03-19,13.00
2015-03-20,14.00
2015-03-21,14.00
2015-03-22,14.00
2015-03-23,13.00
2015-03-24,14.00
2015-03-25,12.00
2015-03-26,10.00
2015-03-27,10.00
2015-03-28,9.00
2015-03-29,11.00
2015-03-30,9.00
2015-03-31,11.00
2015-04-01,14.00
2015-04-02,11.00
2015-04-03,11.00
2015-04-04,12.00
2015-04-05,12.00
2015-04-06,11.00
2015-04-07,9.00
2015-04-08,12.00
2015-04-10,11.00
2015-04-12,9.00
2015-04-13,9.00
2015-04-14,9.00
2015-04-15,8.00
2015-04-16,11.00
2015-04-17,11.00
2015-04-18,10.00
2015-04-19,11.00
2015-04-20,9.00
2015-04-21,9.00
2015-04-22,9.00
2015-04-23,9.00
2015-04-24,9.00
2015-04-25,9.00
2015-04-26,13.00
2015-04-27,13.00
2015-04-28,23.00
2015-04-29,18.00
2015-04-30,11.00
2015-05-01,9.00
2015-05-02,9.00
2015-05-03,9.00
2015-05-04,9.00
2015-05-05,11.00
2015-05-06,9.00
2015-05-07,6.00
2015-05-08,7.00
2015-05-10,6.00
2015-05-11,7.00
2015-05-12,6.00
2015-05-13,7.00
2015-05-14,11.00
2015-05-15,8.00
2015-05-16,9.00
2015-05-17,7.00
2015-05-18,8.00
2015-05-19,7.00
2015-05-20,6.00
2015-05-21,6.00
2015-05-22,6.00
2015-05-23,6.00
2015-05-24,6.00
2015-05-25,7.00
2015-05-26,6.00
2015-05-27,6.00
2015-05-28,6.00
2015-05-29,6.00
2015-05-30,9.00
2015-05-31,6.00
2015-06-01,7.00
2015-06-02,6.00
2015-06-03,8.00
2015-06-04,13.00
2015-06-05,11.00
2015-06-06,11.00
2015-06-07,11.00
2015-06-08,15.00
2015-06-09,13.00
2015-06-10,15.00
2015-06-11,16.00
2015-06-12,14.00
2015-06-13,15.00
2015-06-14,15.00
2015-06-15,17.00
2015-06-16,18.00
2015-06-17,17.00
2015-06-18,16.00
2015-06-19,14.00
2015-06-20,15.00
2015-06-21,15.00
2015-06-22,16.00
2015-06-23,17.00
2015-06-24,17.00
2015-06-25,16.00
2015-06-26,18.00
2015-06-27,17.00
2015-06-28,19.00
2015-06-29,25.00
2015-06-30,25.00
2015-07-01,25.00
2015-07-02,31.00
2015-07-03,33.00
2015-07-04,35.00
2015-07-05,32.00
2015-07-06,31.00
2015-07-07,33.00
2015-07-08,31.00
2015-07-09,33.00
2015-07-10,33.00
2015-07-11,31.00
2015-07-12,31.00
2015-07-13,30.00
2015-07-14,30.00
2015-07-15,29.00
2015-07-16,31.00
2015-07-17,33.00
2015-07-18,34.00
2015-07-19,35.00
2015-07-20,33.00
2015-07-21,45.00
2015-07-22,35.00
2015-07-23,33.00
2015-07-24,33.00
2015-07-25,34.00
2015-07-26,32.00
2015-07-27,33.00
2015-07-28,33.00
2015-07-29,33.00
2015-07-30,33.00
2015-07-31,45.00
2015-08-01,44.00
2015-08-02,38.00
2015-08-03,38.00
2015-08-04,33.00
2015-08-05,33.00
2015-08-06,33.00
2015-08-07,35.00
2015-08-08,43.00
2015-08-09,33.00
2015-08-10,33.00
2015-08-11,33.00
2015-08-12,35.00
2015-08-13,35.00
2015-08-14,33.00
2015-08-15,36.00
2015-08-16,33.00
2015-08-17,29.00
2015-08-18,35.00
2015-08-19,35.00
2015-08-20,35.00
2015-08-21,35.00
2015-08-22,37.00
2015-08-23,35.00
2015-08-24,35.00
2015-08-25,35.00
2015-08-26,35.00
2015-08-27,35.00
2015-08-28,35.00
2015-08-29,35.00
2015-08-30,38.00
2015-08-31,35.00
2015-09-01,35.00
2015-09-02,33.00
2015-09-03,33.00
2015-09-04,35.00
2015-09-05,33.00
2015-09-06,33.00
2015-09-07,33.00
2015-09-08,33.00
2015-09-09,33.00
2015-09-10,33.00
2015-09-11,45.00
2015-09-12,42.00
2015-09-13,35.00
2015-09-14,38.00
2015-09-15,38.00
2015-09-16,33.00
2015-09-17,34.00
