Saliente Features of Major Agriculture Products,,,,,,
Crops,2077/78 (2020/21),,2078/79 (2021/22),,2079/80 (2022/23),
,Area,Production,Area,Production,Area,Production
Lentil,202416,246092,198454,252283,173011,200787
Chickpea,9840,11065,10793,12196,10408,11980
Pigeon Pea,16591,16649,15512,15977,11745,12710
Black Gram,24500,21633,28383,26114,26239,24754
Grass Gram,10456,11965,10407,12072,5643,6404
Horse Gram,13311,15453,12248,14330,6109,6097
Soyabean,25758,32178,24921,35138,26842,36672
Himali bean,,,,,6560,8336
Others,32262,39320,33832,40260,29700,32468
