date,avg
2015-01-01,38.00
2015-01-02,38.00
2015-01-03,43.00
2015-01-04,38.00
2015-01-05,38.00
2015-01-06,41.00
2015-01-07,39.00
2015-01-08,38.00
2015-01-09,40.00
2015-01-11,19.00
2015-01-12,28.00
2015-01-13,29.00
2015-01-14,29.00
2015-01-15,28.00
2015-01-16,29.00
2015-01-17,28.00
2015-01-18,45.00
2015-01-19,35.00
2015-01-20,30.00
2015-01-21,32.00
2015-01-22,33.00
2015-01-23,33.00
2015-01-25,33.00
2015-01-26,33.00
2015-01-27,29.00
2015-01-28,28.00
2015-01-29,35.00
2015-01-31,38.00
2015-02-01,38.00
2015-02-02,33.00
2015-02-03,33.00
2015-02-04,28.00
2015-02-05,28.00
2015-02-06,28.00
2015-02-07,28.00
2015-02-08,28.00
2015-02-09,28.00
2015-02-10,28.00
2015-02-11,28.00
2015-02-12,28.00
2015-02-13,28.00
2015-02-14,28.00
2015-02-15,28.00
2015-02-16,29.00
2015-02-18,28.00
2015-02-19,28.00
2015-02-20,28.00
2015-02-22,28.00
2015-02-23,28.00
2015-02-24,28.00
2015-02-25,28.00
2015-02-26,28.00
2015-02-27,27.00
2015-03-01,28.00
2015-03-02,28.00
2015-03-03,33.00
2015-03-06,33.00
2015-03-09,33.00
2015-03-10,33.00
2015-03-11,39.00
2015-03-12,40.00
2015-03-13,43.00
2015-03-14,43.00
2015-03-15,43.00
2015-03-16,39.00
2015-03-17,38.00
2015-03-18,38.00
2015-03-19,39.00
2015-03-20,38.00
2015-03-21,38.00
2015-03-22,38.00
2015-03-23,37.00
2015-03-24,38.00
2015-03-25,38.00
2015-03-26,38.00
2015-03-27,40.00
2015-03-28,48.00
2015-03-29,58.00
2015-03-30,53.00
2015-03-31,44.00
2015-04-01,43.00
2015-04-02,41.00
2015-04-03,32.00
2015-04-04,33.00
2015-04-05,33.00
2015-04-06,32.00
2015-04-07,33.00
2015-04-08,33.00
2015-04-10,39.00
2015-04-12,48.00
2015-04-13,43.00
2015-04-14,41.00
2015-04-15,37.00
2015-04-16,38.00
2015-04-17,38.00
2015-04-18,34.00
2015-04-19,38.00
2015-04-20,29.00
2015-04-21,33.00
2015-04-22,37.00
2015-04-23,38.00
2015-04-24,38.00
2015-04-25,38.00
2015-04-26,41.00
2015-04-27,38.00
2015-04-28,63.00
2015-04-29,48.00
2015-04-30,43.00
2015-05-01,42.00
2015-05-02,38.00
2015-05-03,37.00
2015-05-04,53.00
2015-05-05,63.00
2015-05-06,63.00
2015-05-07,63.00
2015-05-08,63.00
2015-05-10,58.00
2015-05-11,53.00
2015-05-12,42.00
2015-05-13,38.00
2015-05-14,43.00
2015-05-15,37.00
2015-05-16,37.00
2015-05-17,38.00
2015-05-18,38.00
2015-05-19,38.00
2015-05-20,42.00
2015-05-21,43.00
2015-05-22,62.00
2015-05-23,73.00
2015-05-24,61.00
2015-05-25,63.00
2015-05-26,63.00
2015-05-27,47.00
2015-05-28,57.00
2015-05-29,58.00
2015-05-30,51.00
2015-05-31,53.00
2015-06-01,47.00
2015-06-02,44.00
2015-06-03,43.00
2015-06-04,47.00
2015-06-05,43.00
2015-06-06,48.00
2015-06-07,39.00
2015-06-08,41.00
2015-06-09,39.00
2015-06-10,39.00
2015-06-11,39.00
2015-06-12,39.00
2015-06-13,41.00
2015-06-14,41.00
2015-06-15,40.00
2015-06-16,30.00
2015-06-17,47.00
2015-06-18,42.00
2015-06-19,43.00
2015-06-20,41.00
2015-06-21,40.00
2015-06-22,41.00
2015-06-23,43.00
2015-06-24,43.00
2015-06-25,44.00
2015-06-26,55.00
2015-06-27,55.00
2015-06-28,58.00
2015-06-29,55.00
2015-06-30,55.00
2015-07-01,55.00
2015-07-02,55.00
2015-07-03,55.00
2015-07-04,59.00
2015-07-05,55.00
2015-07-06,55.00
2015-07-07,55.00
2015-07-08,55.00
2015-07-09,53.00
2015-07-10,55.00
2015-07-11,54.00
2015-07-12,63.00
2015-07-13,65.00
2015-07-14,63.00
2015-07-15,55.00
2015-07-16,55.00
2015-07-17,55.00
2015-07-18,56.00
2015-07-19,55.00
2015-07-20,55.00
2015-07-21,65.00
2015-07-22,55.00
2015-07-23,55.00
2015-07-24,55.00
2015-07-25,60.00
2015-07-26,55.00
2015-07-27,45.00
2015-07-28,45.00
2015-07-29,50.00
2015-07-30,51.00
2015-07-31,50.00
2015-08-01,52.00
2015-08-02,55.00
2015-08-03,55.00
2015-08-04,55.00
2015-08-05,55.00
2015-08-06,45.00
2015-08-07,45.00
2015-08-08,52.00
2015-08-09,55.00
2015-08-10,45.00
2015-08-11,45.00
2015-08-12,45.00
2015-08-13,44.00
2015-08-14,42.00
2015-08-15,40.00
2015-08-16,40.00
2015-08-17,38.00
2015-08-18,38.00
2015-08-19,38.00
2015-08-20,38.00
2015-08-21,42.00
2015-08-22,40.00
2015-08-23,45.00
2015-08-24,45.00
2015-08-25,38.00
2015-08-26,42.00
2015-08-27,45.00
2015-08-28,43.00
2015-08-29,41.00
2015-08-30,41.00
2015-08-31,42.00
2015-09-01,38.00
2015-09-02,38.00
2015-09-03,38.00
2015-09-04,38.00
2015-09-05,35.00
2015-09-06,33.00
2015-09-07,32.00
2015-09-08,33.00
2015-09-09,29.00
2015-09-10,29.00
2015-09-11,28.00
