S.N,Province,Districts,Small Farmers(No.),Plantation(Ha),Production (Mt.)Green Bean,Yield (Kg/Ha)
1,Lumbini,Arghakhanchi,1705,130,16,123.08
2,Gandaki,Baglung,865,57,1,17.54
3,Koshi,Bhojpur,188,19,0.8,42.11
4,Bagmati,Chitwan,30,7,1.5,214.29
5,Karnali,Dailekh,30,3,0.3,100.00
6,Bagmati,Dhading,305,106,10.8,101.89
7,Koshi,Dhankuta,535,296,13,43.92
8,Bagmati,Dolakha,150,38,2.5,65.79
9,Sudurpashchim,Doti,10,2,0,0
10,Lumbini,Eastern Rukum,12,2,0.2,100.00
11,Gandaki,Gorkha,935,92,11.5,125.00
12,Lumbini,Gulmi,1965,256,31,121.09
13,Koshi,Ilam,2017,252,19.4,76.98
14,Karnali,Jajarkot,75,7,1,142.86
15,Sudurpashchim,Kailali,5,2,0,0
16,Gandaki,Kaski,4305,169,21,124.26
17,Bagmati,Kavrepalanchok,3150,282,36.5,129.43
18,Koshi,Khotang,255,34,1.4,41.18
19,Bagmati,Lalitpur,1125,114,15.5,135.96
20,Gandaki,Lamjung,1327,109,8.8,80.73
21,Bagmati,Makawanpur,395,28,3,107.14
22,Koshi,Morang,67,12,1.6,133.33
23,Gandaki,Myagdi,154,23,0.5,21.74
24,Lumbini,Nawalpur,108,15,0.6,40.00
25,Bagmati,Nuwakot,1142,215,38,176.74
26,Koshi,Okhaldhunga,23,5,0.4,80.00
27,Lumbini,Palpa,2325,124,17.3,139.52
28,Koshi,Panchthar,130,90,7.2,80.00
29,Gandaki,Parbat,1840,127,12.5,98.43
30,Lumbini,Pyuthan,175,37,4.5,121.62
31,Bagmati,Ramechhap,67,9,0.2,22.22
32,Bagmati,Rasuwa,85,51,5,98.04
33,Lumbini,Rolpa,20,2,0.1,50.00
34,Lumbini,Salyan,30,4,0.2,50.00
35,Koshi,Sankhuwasabha,100,31,4,129.03
36,Bagmati,Sindhuli,116,13,0.4,30.77
37,Bagmati,Sindhupalchok,1916,92,28,304.35
38,Koshi,Solukhumbu,34,13,3.2,246.15
39,Karnali,Surkhet,55,9,0.2,22.22
40,Gandaki,Syangja,2785,325,20,61.54
41,Gandaki,Tanahun,576,41,6.2,151.22
42,Koshi,Taplejung,73,51,6.8,133.33
43,Koshi,Terhathum,92,37,1.6,43.24
44,Madhesh,Udayapur,92,15,1.2,80.00
